Codigo,clave,descripcion
10742,MAROD-371,"Maneral para mini-rodillo, 4' x 7 mm"
10743,MAJA-4,"Mini-maneral con jaula, 4' x 38 mm"
10745,MAJA-9X,"Maneral con jaula, 9' x 36.5 mm, profesional"
10746,FA-3M,"Flexómetro Auto Lock, 3 m, cinta 5/8'"
10747,FA-5M,"Flexómetro Auto Lock, 5 m, cinta 3/4'"
10748,FA-55M,"Flexómetro Auto Lock, 5.5 m, cinta 1'"
10749,FA-8M,"Flexómetro Auto Lock, 8 m, cinta 1'"
10750,BAP-100,Barreta de punta de 7/8' x 100 cm
10753,BAP-125,Barreta de punta de 7/8' x 125 cm
10756,BAP-150,"Barreta de punta de 1' x 150 cm, escoplo ancho"
10759,BAP-150E,Barreta de punta de 1' x 150 cm
10762,BAP-175,"Barreta de punta de 1' x 175 cm, escoplo ancho"
10765,BAP-175X,Barreta de punta de 1-1/4' x 175 cm
10770,LT-152,"Lona reforzada, 1.5 x 2 metros"
10771,LT-35,"Lona reforzada, 3 x 5 metros"
10772,LT-36,"Lona reforzada, 3 x 6 metros"
10773,LT-44,"Lona reforzada, 4 x 4 metros"
10774,LT-47,"Lona reforzada, 4 x 7 metros"
10775,LT-55,"Lona reforzada, 5 x 5 metros"
10776,LT-57,"Lona reforzada, 5 x 7 metros"
10777,LT-66,"Lona reforzada, 6 x 6 metros"
10778,LT-69,"Lona reforzada, 6 x 9 metros"
10779,LT-710,"Lona reforzada, 7 x 10 metros"
10780,LT-914,"Lona reforzada, 9 x 14 metros"
10787,SE-66M,"Segueta sierra sable, 6', 6 DPP, recta para madera"
10788,SE-96M,"Segueta sierra sable, 9', 6 DPP, cónica para madera"
10789,SE-126M,"Segueta sierra sable, 12', 6 DPP, cónica para madera"
10790,SE-614G,"Segueta sierra sable, 6', 10-14 DPP, recta, usos generales"
10791,SE-914G,"Segueta sierra sable, 9', 10-14 DPP, recta, usos generales"
10792,SE-1214G,"Segueta sierra sable, 12', 10-14 DPP, cónica, usos generales"
10795,SE-614F,"Segueta sierra sable, 6', 14 DPP, recta para metales"
10796,SE-618F,"Segueta sierra sable, 6', 18 DPP, recta para metales"
10797,SE-624F,"Segueta sierra sable, 6', 24 DPP, recta para metales"
10798,SE-818F,"Segueta sierra sable, 8', 18 DPP, recta para metales"
10810,MG-DHM-3-1/2,Mango de repuesto para hacha DHM-3-1/2M
10811,REGLA-22,"Regleta calibradora de tuercas y tornillos, 22 cm"
10819,LEN-LZ,"Lentes de seguridad, azul, Ultralite"
10820,LEN-LS5,"Lentes de seguridad,verde, Ultralite"
10821,LEN-LI/E,"Lentes de seguridad, interior-exterior, Ultralite"
10822,LEN-LEP,"Lentes de seguridad, espejo plata, Ultralite"
10823,LEN-LEZ,"Lentes de seguridad, espejo azul, Ultralite"
10824,LEDE-I/E,"Lentes de seguridad ligeros, interior-exterior, Vision"
10825,LEDE-EP,"Lentes de seguridad ligeros con marco, espejo plata, Vision"
10826,LEDE-EZ,"Lentes de seguridad ligeros con marco, espejo azul, Vision"
10835,FUT-3,"Fumigador, 3 L (0.8 gal)"
10836,FUT-5,"Fumigador, 5 L (1.3 gal)"
10837,FUT-7,"Fumigador, 7 L (1.8 gal)"
10847,GU-635,"Guantes para mecánico, alta sensibilidad"
10848,GU-615,"Guantes para mecánico, palma reforzada"
10849,GU-625,"Guantes para mecánico, alta visibilidad"
10850,BU-30,Barreta de uña de 1/2' x 30 cm
10851,MAC-27F,"Martillo cabeza cónica, 27 mm, mango fibra de vidrio"
10852,MAC-29F,"Martillo cabeza cónica, 29 mm, mango fibra de vidrio"
10853,BU-45,Barreta de una de 3/4' x 45 cm
10856,BU-60,Barreta de una de 3/4' x 60 cm
10857,CHA-16NG,"Caja de herramienta, 16', negra"
10858,MG-MB-8X,Mango cuadrado de repuesto para MB-8
10859,BU-75,Barreta de uña de 3/4' x 75 cm
10860,MG-MB-16X,Mango cuadrado de repuesto para MB-16
10861,MG-MB-24X,Mango cuadrado de repuesto para MB-24
10862,BU-90,Barreta de uña de 3/4' x 90 cm
10863,MG-MB-40/48x,Mango cuadrado de repuesto para MB-40/48
10864,COMBO-200,Combo manguera MAN-20X1/2X y pistola PR-208
10865,GRT-19,Grifa de dos bocas de 5/8 y 1/2'
10874,BU-120,Barreta de uña de 1' x 120 cm
10883,COMBO-201,Combo manguera MAN-15X1/2RE y portamanguera GAN-MA
10884,COMBO-100,"Combo ROTO-1/2A7, CHA-19G y ORG-15"
10885,MANCOR-75,"Manguera cuata reforzada para oxiacetileno, 7.5 m"
10887,FM-425,"Fumigador de mochila tipo 425, 15 litros"
10889,GAV-2,"Gaveta apilable de plástico, 16.5 x 10.5 x 7.5 cm"
10890,GAV-3," Gaveta apilable de plástico, 24.5 x 17 x 11 cm"
10891,GAV-4,"Gaveta apilable de plástico, 34 x 21 x 15 cm"
10892,MAN-PI-5-3/8,"Manguera de PVC, baja presión, 3/8', 5 m"
10893,MAN-PI-10-3/8,"Manguera de PVC, baja presión, 3/8', 10m"
10894,MAN-PI-15-3/8,"Manguera de PVC, baja presión, 3/8', 15m"
10895,ORG-64,Organizador con 64 compartimentos
10896,COA-AG,"Coa Agavera, mango de madera"
10897,RAMA-4X,Rajador de leña profesional
10898,AM-2MA,"Azadón 2lbs con martillo, ángulo cerrado"
10899,AM-2M,"Azadón 2 lbs con martillo, mango 54'"
10902,CHP-23R,"Caja herramienta, plástica, 23', con ruedas"
10914,MAC-27T,"Martillo cabeza cónica,27mm, mgo tubular"
10916,LTP-4M,"Lima triángulo pesado, 4', con mango"
10917,LTP-5M,"Lima triángulo pesado, 4', con mango"
10918,LTR-6M,"Lima triángulo regular,muza,6',con mango"
10919,ESEX-300,"Espuma expansiva, 300 ml"
10920,ESEX-500,"Espuma expansiva, 500 ml"
10921,LTR-7M,"Lima triángulo regular,muza,7',con mango"
10922,LTR-8M,"Lima triángulo regular,muza,8',con mango"
10923,MORCA-16LT,"Martillo California, boca lisa, 16 oz"
10926,CAT-60NDX,"Carretilla 6 ft, reforzada,mangos c/asas"
10927,TJA-2,"Talacho-pico, mango fibra de vidrio, 14'"
10929,FDO-1,"Fumigador doméstico, 1 litro"
10932,CDU-10XX,"Cinta para ducto, 10 m, Truper Expert"
10933,CDU-30XX,"Cinta para ducto, 30 m, Truper Expert"
